id_User,assignment,userid,grade,attemptnumber,grupo,userna,tarea,duedate,completionsubmit,lastlogin,timecreated,status,latest,fechaEntrega,ultimoAcceso,semxmatricula,seniority_year
1042,2465,1042,80,0,405-B TBD,23050017,Act 1 InvestigaciÃ³n 1,1743227400,1,1744331138,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1042,2435,1042,100,0,405-B TBD,23050017,Consultas sobre su propia BD,1742622600,1,1744331138,1692472099,new,1,22/03/2025,11/04/2025,4,1
1042,850,1042,100,0,405-B TBD,23050017,Actividad 4 Segunda parte de consultas,1742018220,1,1744331138,1692472099,new,1,15/03/2025,11/04/2025,4,1
1042,849,1042,50,0,405-B TBD,23050017,Actividad 3 InvestigaciÃ³n,1742017800,1,1744331138,1692472099,new,1,15/03/2025,11/04/2025,4,1
1042,848,1042,100,0,405-B TBD,23050017,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744331138,1692472099,new,1,08/03/2025,11/04/2025,4,1
1042,847,1042,0,0,405-B TBD,23050017,Actividad 1,1740808200,1,1744331138,1692472099,new,1,01/03/2025,11/04/2025,4,1
1043,2466,1043,90,0,405-B TBD,23050018,Act 2 investigaciÃ³n 2,1743227400,1,1744331629,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1043,2465,1043,80,0,405-B TBD,23050018,Act 1 InvestigaciÃ³n 1,1743227400,1,1744331629,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1043,2435,1043,100,0,405-B TBD,23050018,Consultas sobre su propia BD,1742622600,1,1744331629,1692472099,new,1,22/03/2025,11/04/2025,4,1
1043,850,1043,100,0,405-B TBD,23050018,Actividad 4 Segunda parte de consultas,1742018220,1,1744331629,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1043,849,1043,50,0,405-B TBD,23050018,Actividad 3 InvestigaciÃ³n,1742017800,1,1744331629,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1043,848,1043,100,0,405-B TBD,23050018,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744331629,1692472099,new,1,08/03/2025,11/04/2025,4,1
1043,847,1043,0,0,405-B TBD,23050018,Actividad 1,1740808200,1,1744331629,1692472099,submitted,1,01/03/2025,11/04/2025,4,1
1048,2466,1048,90,0,405-B TBD,23050023,Act 2 investigaciÃ³n 2,1743227400,1,1744224094,1692472099,submitted,1,29/03/2025,09/04/2025,4,1
1048,2465,1048,80,0,405-B TBD,23050023,Act 1 InvestigaciÃ³n 1,1743227400,1,1744224094,1692472099,submitted,1,29/03/2025,09/04/2025,4,1
1048,2435,1048,100,0,405-B TBD,23050023,Consultas sobre su propia BD,1742622600,1,1744224094,1692472099,submitted,1,22/03/2025,09/04/2025,4,1
1048,850,1048,100,0,405-B TBD,23050023,Actividad 4 Segunda parte de consultas,1742018220,1,1744224094,1692472099,submitted,1,15/03/2025,09/04/2025,4,1
1048,849,1048,50,0,405-B TBD,23050023,Actividad 3 InvestigaciÃ³n,1742017800,1,1744224094,1692472099,submitted,1,15/03/2025,09/04/2025,4,1
1048,848,1048,100,0,405-B TBD,23050023,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744224094,1692472099,submitted,1,08/03/2025,09/04/2025,4,1
1048,847,1048,0,0,405-B TBD,23050023,Actividad 1,1740808200,1,1744224094,1692472099,submitted,1,01/03/2025,09/04/2025,4,1
1050,2466,1050,90,0,405-B TBD,23050025,Act 2 investigaciÃ³n 2,1743227400,1,1744250549,1692472099,submitted,1,29/03/2025,10/04/2025,4,1
1050,2465,1050,80,0,405-B TBD,23050025,Act 1 InvestigaciÃ³n 1,1743227400,1,1744250549,1692472099,submitted,1,29/03/2025,10/04/2025,4,1
1050,2435,1050,100,0,405-B TBD,23050025,Consultas sobre su propia BD,1742622600,1,1744250549,1692472099,submitted,1,22/03/2025,10/04/2025,4,1
1050,850,1050,100,0,405-B TBD,23050025,Actividad 4 Segunda parte de consultas,1742018220,1,1744250549,1692472099,submitted,1,15/03/2025,10/04/2025,4,1
1050,849,1050,50,0,405-B TBD,23050025,Actividad 3 InvestigaciÃ³n,1742017800,1,1744250549,1692472099,submitted,1,15/03/2025,10/04/2025,4,1
